sample_number,sample_date,lead_amount_ppm
1584704,2014-05-20,1.05e-4
1583829,2014-05-20,0.0119
1583376,2014-05-20,0.00225
1584785,2014-05-20,0.00382
1583269,2014-05-20,1.82e-4
1583518,2014-05-20,0.00411
1583582,2014-05-20,0.013
1583578,2014-05-20,5e-5
1583468,2014-05-20,5.32e-5
1585374,2014-05-20,8.33e-5
1585579,2014-05-21,9.76e-5
1584966,2014-05-21,0.00118
1583331,2014-05-21,0.00139
1583562,2014-05-21,4.39e-4
1584705,2014-05-21,3.75e-4
1584668,2014-05-21,5e-5
1583583,2014-05-21,2.08e-4
1585354,2014-05-21,1.11e-4
1583782,2014-05-21,7.91e-4
1583372,2014-05-21,4e-4
1584651,2014-05-21,0.00367
1583374,2014-05-21,1.56e-4
1583366,2014-05-21,5.21e-5
1583919,2014-05-21,0.0061
1584938,2014-05-21,8.49e-5
1583916,2014-05-21,3.76e-4
1583371,2014-05-21,4.05e-4
1587985,2014-05-21,7.63e-5
1583922,2014-05-21,1.36e-4
1586708,2014-05-21,5e-5
1583551,2014-05-21,9.83e-5
1583874,2014-05-21,8.47e-5
1583817,2014-05-21,5e-5
1583878,2014-05-21,1.67e-4
1583972,2014-05-21,5e-5
1583586,2014-05-21,0.00214
1584744,2014-05-21,0.00148
1584662,2014-05-21,5e-5
1584753,2014-05-21,0.00443
1583758,2014-05-21,0.00157
1584710,2014-05-21,1.4e-4
1583820,2014-05-21,0.00931
1584708,2014-05-21,0.00064899999999999995
1587362,2014-05-21,5e-5
1585355,2014-05-21,5e-5
1583974,2014-05-21,0.0137
1583564,2014-05-21,0.0082
1584876,2014-05-21,0.00377
1583824,2014-05-21,1.12e-4
1587013,2014-05-21,2.42e-4
1585667,2014-05-21,9.05e-5
1586275,2014-05-21,0.00403
1583848,2014-05-21,2.04e-4
1583831,2014-05-21,5.19e-5
1583880,2014-05-21,0.00669
1583793,2014-05-21,1.14e-4
1583876,2014-05-21,1.34e-4
1586274,2014-05-21,6.4e-5
1583567,2014-05-21,0.00145
1584711,2014-05-21,0.00138
1588750,2014-05-21,9.53e-5
1583624,2014-05-21,9.23e-4
1583832,2014-05-21,2.56e-4
1584584,2014-05-21,5.74e-5
1584765,2014-05-21,1.93e-4
1583626,2014-05-21,0.00192
1584924,2014-05-21,1.51e-4
1583941,2014-05-21,5e-5
